Istat,Comune,Decessi marzo 2019,Decessi marzo 2020
16002,Adrara San Rocco,0,1
16004,Albino,19,145
16005,Almè,6,30
16006,Almenno San Bartolomeo,1,11
16007,Almenno San Salvatore,4,29
16008,Alzano Lombardo,9,101
16013,Arzago d'Adda,2,6
16016,Azzano San Paolo,8,32
16017,Azzone,0,1
16018,Bagnatica,4,16
16019,Barbata,0,1
16022,Bedulita,1,1
16023,Berbenno,3,9
16024,Bergamo,125,602
16026,Bianzano,2,6
16029,Boltiere,2,28
16031,Bonate Sotto,4,10
16033,Bossico,2,5
16034,Bottanuco,4,21
16035,Bracca,0,5
16038,Brembate di Sopra,10,79
16041,Brumano,0,1
16047,Calvenzano,2,25
16048,Camerata Cornello,1,7
16050,Capizzone,1,7
16053,Caravaggio,14,56
16055,Carobbio degli Angeli,2,9
16057,Carvico,2,14
16058,Casazza,3,14
16062,Castelli Calepio,8,50
16063,Castel Rozzone,1,5
16064,Castione della Presolana,3,23
16066,Cavernago,2,7
16071,Cerete,0,8
16075,Ciserano,3,18
16077,Clusone,12,89
16078,Colere,2,6
16079,Cologno al Serio,7,34
16080,Colzate,2,8
16082,Corna Imagna,1,1
16084,Costa di Mezzate,1,11
16087,Covo,4,23
16089,Curno,13,26
16090,Cusio,0,2
16091,Dalmine,18,119
16092,Dossena,1,7
16093,Endine Gaiano,2,13
16096,Fara Gera d'Adda,5,15
16097,Fara Olivana con Sola,2,5
16099,Fino del Monte,1,8
16100,Fiorano al Serio,4,34
16102,Fonteno,1,12
16103,Foppolo,0,2
16104,Foresto Sparso,2,14
16108,Gandino,8,51
16109,Gandosso,2,9
16111,Gazzaniga,6,49
16115,Gorle,3,29
16119,Grone,3,4
16121,Isola di Fondra,0,0
16123,Lallio,1,4
16125,Lenna,3,9
16127,Locatello,0,2
16132,Mapello,0,11
16133,Martinengo,8,69
16135,Misano di Gera d'Adda,0,8
16136,Moio de' Calvi,1,3
16143,Mozzo,5,20
16144,Nembro,14,135
16147,Oltressenda Alta,0,0
16149,Onore,4,4
16150,Orio al Serio,0,8
16151,Ornica,0,1
16153,Osio Sotto,11,40
16155,Paladina,4,25
16156,Palazzago,1,9
16157,Palosco,4,35
16158,Parre,2,21
16160,Pedrengo,3,35
16164,Piazza Brembana,2,7
16166,Piazzolo,0,1
16169,Ponteranica,2,26
16170,Ponte San Pietro,9,62
16172,Pontirolo Nuovo,4,8
16173,Pradalunga,7,42
16178,Ranica,4,22
16180,Riva di Solto,1,8
16183,Romano di Lombardia,16,76
16184,Roncobello,2,0
16186,Rota d'Imagna,0,4
16187,Rovetta,3,25
16188,San Giovanni Bianco,2,41
16189,San Paolo d'Argon,2,22
16190,San Pellegrino Terme,2,42
16191,Santa Brigida,0,5
16193,Sarnico,4,47
16194,Scanzorosciate,14,72
16195,Schilpario,2,12
16196,Sedrina,0,20
16197,Selvino,1,20
16198,Seriate,16,103
16199,Serina,6,17
16201,Songavazzo,1,7
16203,Sotto il Monte Giovanni XXIII,3,13
16206,Spirano,2,30
16207,Stezzano,10,60
16209,Suisio,1,15
16212,Telgate,3,19
16214,Torre Boldone,11,71
16216,Torre de' Roveri,3,6
16219,Treviglio,26,93
16220,Treviolo,4,41
16221,Ubiale Clanezzo,1,3
16223,Valbondione,1,8
16227,Valnegra,0,2
16233,Verdello,4,29
16237,Vigolo,1,3
16242,Villongo,3,23
16243,Vilminore di Scalve,0,9
16246,Zogno,6,77
16252,Sant'Omobono Terme,5,12
